id,created_at,text
712358000000000000,3/22/16 19:17,"Obama, and all others, have been so weak, and so politically correct, that terror groups are forming and getting stronger! Shame."
712357000000000000,3/22/16 19:16,"#UtahCaucus message from @IvankaTrump! #UTCaucus#MakeAmericaGreatAgain #Trump2016https://t.co/kHigCSUnFC"
712354000000000000,3/22/16 19:04,"#ArizonaPrimary message from @IvankaTrump! #AZPrimary #MakeAmericaGreatAgain #Trump2016https://t.co/WzTDekWJAQ"
712351000000000000,3/22/16 18:52,"#VoteTrump video: https://t.co/NauXRQ2Q91#AZPrimary #ArizonaPrimary #UtahCaucus #UTCaucus #AmericanSamoa https://t.co/bKruyYHFma"
712343000000000000,3/22/16 18:21,"My heart &amp; prayers go out to all of the victims of the terrible #Brussels tragedy. This madness must be stopped, and I will stop it."
712312000000000000,3/22/16 16:16,Watch this clip from earlier this year. Time &amp; time again I have been right about terrorism. It‰Ûªs time to get tough! https://t.co/8mnY3GFRzw
712301000000000000,3/22/16 15:32,I have proven to be far more correct about terrorism than anybody- and it‰Ûªs not even close. Hopefully AZ and UT will be voting for me today!
712295000000000000,3/22/16 15:08,RT @EricTrump: #Arizona: We made it easy to find your polling location for today's primary! Simply visit https://t.co/uJFqD4yTlF _Ùà__Ùàü https:/‰Û_
712291000000000000,3/22/16 14:54,MAKE AMERICA GREAT AGAIN!
712291000000000000,3/22/16 14:53,"President Obama looks and sounds so ridiculous making his speech in Cuba, especially in the shadows of Brussels. He is being treated badly!"
712249000000000000,3/22/16 12:04,"Do you all remember how beautiful and safe a place Brussels was. Not anymore, it is from a different world! U.S. must be vigilant and smart!"
712235000000000000,3/22/16 11:11,"""@MyPresidentme: Here's Trump #AIPAC2016 in case anyone missed it. It is a must watch. https://t.co/cGCIYE7yZB"""
711743000000000000,3/21/16 2:34,"""@BarronG510: @realDonaldTrump The media is corrupt! We The People are fighting with you."""
711654000000000000,3/20/16 20:41,"Wow, President Obama just landed in Cuba, a big deal, and Raul Castro wasn't even there to greet him. He greeted Pope and others. No respect"
711640000000000000,3/20/16 19:45,Big Republican Dinner tonight at Mar-a-Lago in Palm Beach. I will be there!
711638000000000000,3/20/16 19:39,"""@gamzorz:  @megynkelly Dont worry Trump, They are losing thousands of viewers and money. Roger Ailes will be telling Megyn to stop"""
711631000000000000,3/20/16 19:10,"So the highly overrated anchor, @megynkelly, is allowed to constantly say bad things about me on her show, but I can't fight back? Wrong!"
711626000000000000,3/20/16 18:52,"The protesters blocked a major highway yesterday, delaying entry to my RALLY in Arizona by hours, and the media blames my supporters!"
711587000000000000,3/20/16 16:13,"Why is it that the horrendous protesters, who scream, curse punch, shut down roads/doors during my RALLIES,  are never blamed by media? SAD!"
711522000000000000,3/20/16 11:55,Will be interviewed on @ThisWeekABC this morning. Enjoy!
711521000000000000,3/20/16 11:51,"""@GStephanopoulos: What‰Ûªs @realDonaldTrump's strategy to secure the GOP nomination? I‰Ûªll talk to the Republican front-runner. @ThisWeekABC."""
711418000000000000,3/20/16 5:05,The rallies in Utah and Arizona were great! Tremendous crowds and spirit. Just returned but will be going back soon.
711415000000000000,3/20/16 4:51,"""@jojo2foxy: TRUMP IS NOT AFRAID OF ANYTHING OR ANYONE - THAT'S THE PRESIDENT USA NEEDS TO UNITE US &amp; KNOCK THE SOCKS OFF OUR ENEMIES!"
711388000000000000,3/20/16 3:06,"THANK YOU ARIZONA! Get out and #VoteTrump on Tuesday! #AZPrimary #MakeAmericaGreatAgain #Trump2016 https://t.co/5itxkQxrLF"
711366000000000000,3/20/16 1:39,"Thank you- Tucson, Arizona! A great afternoon with 6,000 supporters! #VoteTrump on Tuesday!#MakeAmericaGreatAgain https://t.co/CTgYrLnAWV"
711354000000000000,3/20/16 0:48,.@AndreaTantaros- You are a true journalistic professional. I so agree with what you say. Keep up the great work! #MakeAmericaGreatAgain
711350000000000000,3/20/16 0:34,".@jessebwatters- Watching your show from Arizona where we just had a big rally. It is fantastic- everybody loves it!#MakeAmericaGreatAgain"
711349000000000000,3/20/16 0:31,.@DiamondandSilk- Just watched you on #WattersWorld with a large group of people. Everybody loves you- two amazing people! #Trump2016
711276000000000000,3/19/16 19:38,"THANK YOU ARIZONA! 20,000 amazing supporters! Get out and #VoteTrump on Tuesday. I love you!#MakeAmericaGreatAgain https://t.co/pU5vB1pBO5"
